path,text
data/input/172530236481_Travel.mp4,"The video captures a bustling scene on a multi-lane highway in China. The highway is filled with a variety of vehicles, including cars, buses, and trucks, all moving in the same direction. The vehicles are predominantly black and white, with a few red and yellow ones scattered throughout. The highway is surrounded by lush green trees and buildings, creating a stark contrast between the natural and urban environments. The sky above is a clear blue, suggesting a sunny day. The video is taken from a high angle, providing a bird's eye view of the highway and its surroundings. The image is slightly blurry, adding a sense of motion to the scene. The overall image is a dynamic representation of a typical day on a busy Chinese highway."
data/input/172842598268_Oddity.mp4,"The video captures a bustling scene on a mountain road. Dominating the frame is a large truck, its cargo bed brimming with a load of rocks. The truck is in motion, driving on the right side of the road, which is marked by a white line.   In the background, a car is visible, adding to the sense of activity on the road. The road itself is nestled amidst a lush expanse of trees and rocks, creating a natural backdrop to the scene.   The perspective of the video is particularly striking - it's taken from a high angle, looking down on the road and the vehicles. This viewpoint gives a comprehensive view of the road and its surroundings, allowing for a clear view of the truck and the car, as well as the trees and rocks in the background.   Despite the activity, there's a sense of order and routine to the scene. The truck is driving in the correct lane, and the car is following the rules of the road. The trees and rocks in the background stand still, providing a constant backdrop to the scene.   Overall, the video provides a snapshot of a moment"
data/input/173597670263_Travel.mp4,"The video captures the breathtaking view of the Sphinx of Babele, a natural rock formation located in Romania. The perspective is from a high angle, providing a panoramic view of the surrounding landscape. The Sphinx, a large rock formation, is the main focus of the image, with its green moss covering adding a touch of color to the otherwise rugged terrain. The clear blue sky forms a beautiful backdrop, while the calm sea in the foreground adds a sense of tranquility to the scene. The image is taken during the day, under bright sunlight, which illuminates the entire scene and highlights the details of the rock formation and the sea. The overall composition of the image suggests a serene and peaceful environment, untouched by urban development."
data/input/174085971333_Appearance.mp4,"The video is a close-up of a person taking a selfie. The individual appears to be a young woman with long dark hair and is wearing a white top. She is holding up a peace sign with her right hand. On her head, there are two white bunny ears that are part of a filter or accessory. The background is blurred but suggests an indoor setting with a pinkish hue, possibly a room with a pink wall. There are no texts visible in the video. The style of the video is casual and personal, likely intended for social media sharing."
data/input/175715721211_Education.mp4,"The video is a short, vertical format video featuring a woman standing in a kitchen. She is wearing a white chef's coat with a logo on the left chest area and a name tag on the right chest area. The chef is facing the camera and appears to be speaking or presenting, as indicated by her gestures and the text overlay on the screen. The text overlay is in Chinese characters and includes the date ""14-19"" and the word ""live,"" suggesting that this might be a live broadcast or a live cooking demonstration.  In the background, there is a kitchen counter with various items on it, including what appears to be a cake stand with a cake, a bowl, and some fruit. The kitchen has a modern design with a stainless steel refrigerator and a sink visible in the background. The lighting in the kitchen is bright, and the overall style of the video is informative and promotional, likely intended for a culinary audience."
data/input/180280307873_Pet.mp4,"The video is a close-up shot of a light brown Labrador puppy lying on a blue metal grate. The puppy appears to be resting or relaxing, with its eyes closed and mouth slightly open. The puppy's fur is soft and shiny, and its ears are floppy. The background is blurred, but it seems to be an outdoor setting with natural lighting. There are no texts or other objects in the video. The style of the video is a realistic, unembellished depiction of the puppy, likely intended to showcase the puppy's appearance and demeanor."
data/input/180993222696_Home.mp4,"The video shows a close-up of a person's hands holding a power drill with a black handle and a silver body. The drill is being used to drill into a red brick wall. The person is wearing a gray jacket and is holding the drill with both hands. The drill is making a hole in the brick wall, and the person is applying pressure to the drill with their hands. The background is blurred, but it appears to be an outdoor setting with a brick wall and a blue sky. There are no texts visible in the video. The style of the video is a real-life action shot, capturing the moment of drilling into the brick wall."
data/input/181239937199_Travel.mp4,"The video captures a breathtaking aerial view of a mountainous landscape. The camera is positioned high above the ground, providing a bird's eye view of the terrain. The landscape is a mix of dry grass and shrubs, interspersed with patches of trees. The colors in the image are predominantly brown and green, reflecting the natural environment.  The camera pans across the landscape, revealing the vastness of the area. The mountains in the distance appear majestic, their peaks reaching towards the sky. The image is taken during the day, under clear skies, which adds to the overall beauty of the scene.  The video also contains text in Chinese, which provides additional information about the location. However, the text is not the focus of the image and is not the main subject of the video. The primary focus is the stunning aerial view of the mountainous landscape. The text is likely providing context or information about the location, but it is not the main point of interest in the image."
data/input/182027124406_Car.mp4,"The video captures a scene in a room where a KTM dirt bike is the center of attention. The bike, with its vibrant orange and white color scheme, is parked on a wooden floor. The KTM logo is prominently displayed on the bike, indicating its brand. The bike is equipped with a large tire, suggesting it's designed for off-road use.  The bike is positioned in front of a wooden table, which holds a few items. A helmet, presumably for the rider, is placed on the table. A pair of goggles, essential for any dirt bike rider, is also on the table. A water bottle, likely for the rider to stay hydrated during rides, is also present.  The room itself is simple and uncluttered, with a potted plant adding a touch of greenery to the space. The focus of the room is clearly the KTM dirt bike, ready for an adventure on the trails."
data/input/183496874465_Fitness.mp4,"The video shows a man working out in a gym. He is seated on a red weight machine with a black seat and backrest, which appears to be a leg press machine. The man is wearing a black sleeveless top and is in the process of lifting a weight with his legs. The gym has an orange wall in the background, and there is a sign with red and white text on the machine, although the text is not legible in the image. The lighting in the gym is bright, and the focus of the image is on the man and the machine he is using. The style of the image is a real-life photograph with a shallow depth of field, focusing on the man and the machine while the background is slightly blurred."
